Year;Month;Day;Hour;Temperature;GHI
2024;1;1;0;27.3;0.0
2024;1;1;1;26.8;0.0
2024;1;1;2;26.4;0.0
2024;1;1;3;26.1;0.0
2024;1;1;4;25.9;0.0
2024;1;1;5;25.6;0.0
2024;1;1;6;25.4;0.0
2024;1;1;7;25.2;0.0
2024;1;1;8;25.1;0.0
2024;1;1;9;24.9;0.0
2024;1;1;10;24.9;0.0
2024;1;1;11;25.5;0.0
2024;1;1;12;27.4;80.0
2024;1;1;13;29.4;297.0
2024;1;1;14;31.4;468.0
2024;1;1;15;33.3;607.0
2024;1;1;16;34.6;627.0
2024;1;1;17;35.2;490.0
2024;1;1;18;35.2;453.0
2024;1;1;19;34.4;454.0
2024;1;1;20;32.9;531.0
2024;1;1;21;31.2;305.0
2024;1;1;22;29.0;141.0
2024;1;1;23;27.8;0.0
2024;1;2;0;27.2;0.0
2024;1;2;1;26.7;0.0
2024;1;2;2;26.4;0.0
2024;1;2;3;26.1;0.0
2024;1;2;4;25.8;0.0
2024;1;2;5;25.6;0.0
2024;1;2;6;25.5;0.0
2024;1;2;7;25.5;0.0
2024;1;2;8;25.5;0.0
2024;1;2;9;25.6;0.0
2024;1;2;10;25.6;0.0
2024;1;2;11;25.8;0.0
2024;1;2;12;27.5;92.0
2024;1;2;13;29.6;93.0
2024;1;2;14;31.6;239.0
2024;1;2;15;33.3;348.0
2024;1;2;16;34.5;582.0
2024;1;2;17;35.1;790.0
2024;1;2;18;34.9;482.0
2024;1;2;19;34.2;642.0
2024;1;2;20;33.2;433.0
2024;1;2;21;31.5;361.0
2024;1;2;22;29.2;141.0
2024;1;2;23;28.1;0.0
2024;1;3;0;27.6;0.0
2024;1;3;1;27.1;0.0
2024;1;3;2;26.7;0.0
2024;1;3;3;26.5;0.0
2024;1;3;4;26.2;0.0
2024;1;3;5;26.1;0.0
2024;1;3;6;25.9;0.0
2024;1;3;7;25.7;0.0
2024;1;3;8;25.6;0.0
2024;1;3;9;25.5;0.0
2024;1;3;10;25.3;0.0
2024;1;3;11;25.5;0.0
2024;1;3;12;26.9;92.0
2024;1;3;13;28.8;312.0
2024;1;3;14;30.6;533.0
2024;1;3;15;32.2;671.0
2024;1;3;16;33.6;838.0
2024;1;3;17;34.6;862.0
2024;1;3;18;35.0;736.0
2024;1;3;19;34.9;762.0
2024;1;3;20;34.2;403.0
2024;1;3;21;32.7;384.0
2024;1;3;22;29.7;154.0
2024;1;3;23;28.0;3.0
2024;1;4;0;27.6;0.0
2024;1;4;1;27.2;0.0
2024;1;4;2;26.8;0.0
2024;1;4;3;26.5;0.0
2024;1;4;4;26.2;0.0
2024;1;4;5;25.9;0.0
2024;1;4;6;25.7;0.0
2024;1;4;7;25.5;0.0
2024;1;4;8;25.4;0.0
2024;1;4;9;25.3;0.0
2024;1;4;10;25.2;0.0
2024;1;4;11;25.6;0.0
2024;1;4;12;27.7;94.0
2024;1;4;13;29.8;318.0
2024;1;4;14;31.7;538.0
2024;1;4;15;33.3;715.0
2024;1;4;16;34.6;833.0
2024;1;4;17;35.4;879.0
2024;1;4;18;35.7;858.0
2024;1;4;19;35.3;756.0
2024;1;4;20;34.1;590.0
2024;1;4;21;32.5;379.0
2024;1;4;22;29.8;152.0
2024;1;4;23;28.2;3.0
2024;1;5;0;27.7;0.0
2024;1;5;1;27.3;0.0
2024;1;5;2;27.0;0.0
2024;1;5;3;26.8;0.0
2024;1;5;4;26.6;0.0
2024;1;5;5;26.4;0.0
2024;1;5;6;26.4;0.0
2024;1;5;7;26.2;0.0
2024;1;5;8;26.0;0.0
2024;1;5;9;25.7;0.0
2024;1;5;10;25.5;0.0
2024;1;5;11;25.8;0.0
2024;1;5;12;27.7;88.0
2024;1;5;13;29.9;308.0
2024;1;5;14;32.1;527.0
2024;1;5;15;33.8;698.0
2024;1;5;16;34.9;797.0
2024;1;5;17;35.7;780.0
2024;1;5;18;35.9;838.0
2024;1;5;19;35.4;718.0
2024;1;5;20;34.6;562.0
2024;1;5;21;33.3;343.0
2024;1;5;22;30.6;137.0
2024;1;5;23;28.8;2.0
2024;1;6;0;28.0;0.0
2024;1;6;1;27.6;0.0
2024;1;6;2;27.3;0.0
2024;1;6;3;26.8;0.0
2024;1;6;4;26.4;0.0
2024;1;6;5;26.1;0.0
2024;1;6;6;25.9;0.0
2024;1;6;7;25.6;0.0
2024;1;6;8;25.4;0.0
2024;1;6;9;25.1;0.0
2024;1;6;10;25.0;0.0
2024;1;6;11;25.3;0.0
2024;1;6;12;27.4;90.0
2024;1;6;13;29.7;312.0
2024;1;6;14;31.6;533.0
2024;1;6;15;33.3;727.0
2024;1;6;16;34.7;849.0
2024;1;6;17;35.8;897.0
2024;1;6;18;36.3;862.0
2024;1;6;19;36.1;707.0
2024;1;6;20;35.1;593.0
2024;1;6;21;33.6;352.0
2024;1;6;22;30.4;110.0
2024;1;6;23;28.4;3.0
2024;1;7;0;27.7;0.0
2024;1;7;1;27.2;0.0
2024;1;7;2;26.8;0.0
2024;1;7;3;26.4;0.0
2024;1;7;4;26.1;0.0
2024;1;7;5;25.7;0.0
2024;1;7;6;25.5;0.0
2024;1;7;7;25.5;0.0
2024;1;7;8;25.6;0.0
2024;1;7;9;25.6;0.0
2024;1;7;10;25.6;0.0
2024;1;7;11;25.8;0.0
2024;1;7;12;27.6;90.0
2024;1;7;13;29.9;311.0
2024;1;7;14;31.8;534.0
2024;1;7;15;33.5;710.0
2024;1;7;16;35.0;833.0
2024;1;7;17;36.1;884.0
2024;1;7;18;36.8;860.0
2024;1;7;19;36.8;760.0
2024;1;7;20;36.0;596.0
2024;1;7;21;34.2;383.0
2024;1;7;22;30.4;54.0
2024;1;7;23;28.6;3.0
2024;1;8;0;28.3;0.0
2024;1;8;1;27.8;0.0
2024;1;8;2;27.4;0.0
2024;1;8;3;27.0;0.0
2024;1;8;4;26.5;0.0
2024;1;8;5;26.1;0.0
2024;1;8;6;25.8;0.0
2024;1;8;7;25.7;0.0
2024;1;8;8;25.6;0.0
2024;1;8;9;25.7;0.0
2024;1;8;10;25.7;0.0
2024;1;8;11;26.0;0.0
2024;1;8;12;27.9;74.0
2024;1;8;13;30.0;304.0
2024;1;8;14;31.9;527.0
2024;1;8;15;33.6;719.0
2024;1;8;16;35.1;843.0
2024;1;8;17;36.2;869.0
2024;1;8;18;36.8;802.0
2024;1;8;19;36.8;726.0
2024;1;8;20;36.0;608.0
2024;1;8;21;34.4;390.0
2024;1;8;22;30.9;160.0
2024;1;8;23;28.7;4.0
2024;1;9;0;28.0;0.0
2024;1;9;1;27.7;0.0
2024;1;9;2;27.3;0.0
2024;1;9;3;27.0;0.0
2024;1;9;4;26.8;0.0
2024;1;9;5;26.7;0.0
2024;1;9;6;26.7;0.0
2024;1;9;7;26.6;0.0
2024;1;9;8;26.3;0.0
2024;1;9;9;26.0;0.0
2024;1;9;10;25.7;0.0
2024;1;9;11;25.8;0.0
2024;1;9;12;27.6;86.0
2024;1;9;13;29.6;306.0
2024;1;9;14;31.6;529.0
2024;1;9;15;33.4;703.0
2024;1;9;16;34.9;829.0
2024;1;9;17;36.0;885.0
2024;1;9;18;36.9;879.0
2024;1;9;19;37.1;781.0
2024;1;9;20;36.5;615.0
2024;1;9;21;35.5;400.0
2024;1;9;22;31.5;167.0
2024;1;9;23;28.6;5.0
2024;1;10;0;27.8;0.0
2024;1;10;1;27.5;0.0
2024;1;10;2;27.0;0.0
2024;1;10;3;26.6;0.0
2024;1;10;4;26.4;0.0
2024;1;10;5;26.1;0.0
2024;1;10;6;25.9;0.0
2024;1;10;7;25.8;0.0
2024;1;10;8;25.7;0.0
2024;1;10;9;25.6;0.0
2024;1;10;10;25.7;0.0
2024;1;10;11;26.0;0.0
2024;1;10;12;28.3;86.0
2024;1;10;13;31.0;307.0
2024;1;10;14;32.8;531.0
2024;1;10;15;34.4;710.0
2024;1;10;16;35.9;834.0
2024;1;10;17;36.9;886.0
2024;1;10;18;37.2;836.0
2024;1;10;19;36.8;704.0
2024;1;10;20;35.7;478.0
2024;1;10;21;33.7;386.0
2024;1;10;22;30.4;160.0
2024;1;10;23;28.6;4.0
2024;1;11;0;27.8;0.0
2024;1;11;1;27.4;0.0
2024;1;11;2;27.1;0.0
2024;1;11;3;26.9;0.0
2024;1;11;4;26.7;0.0
2024;1;11;5;26.5;0.0
2024;1;11;6;26.1;0.0
2024;1;11;7;25.9;0.0
2024;1;11;8;25.6;0.0
2024;1;11;9;25.5;0.0
2024;1;11;10;25.3;0.0
2024;1;11;11;25.7;0.0
2024;1;11;12;27.6;83.0
2024;1;11;13;30.0;301.0
2024;1;11;14;32.4;523.0
2024;1;11;15;34.3;715.0
2024;1;11;16;35.6;837.0
2024;1;11;17;36.4;888.0
2024;1;11;18;36.5;858.0
2024;1;11;19;35.8;546.0
2024;1;11;20;34.6;595.0
2024;1;11;21;32.6;385.0
2024;1;11;22;29.9;160.0
2024;1;11;23;28.4;4.0
2024;1;12;0;27.6;0.0
2024;1;12;1;27.0;0.0
2024;1;12;2;26.7;0.0
2024;1;12;3;26.5;0.0
2024;1;12;4;26.3;0.0
2024;1;12;5;26.2;0.0
2024;1;12;6;26.0;0.0
2024;1;12;7;25.8;0.0
2024;1;12;8;25.6;0.0
2024;1;12;9;25.5;0.0
2024;1;12;10;25.3;0.0
2024;1;12;11;25.6;0.0
2024;1;12;12;27.5;80.0
2024;1;12;13;29.6;296.0
2024;1;12;14;31.8;518.0
2024;1;12;15;33.5;679.0
2024;1;12;16;34.8;729.0
2024;1;12;17;35.5;730.0
